time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-04-28T10:25:23.666Z,-24.1184,-71.0102,40.2,4.7,mwr,,143,0.732,1,us,us70003dcs,2019-04-28T14:32:28.585Z,"80km SW of Antofagasta, Chile",earthquake,5.2,5.5,0.062,25,reviewed,us,us
2019-04-28T08:04:25.388Z,39.7973,-117.4622,1.5,2.5,ml,10,225.61,0.703,0.2181,nn,nn00683408,2019-04-29T02:04:33.103Z,"47km NW of Austin, Nevada",earthquake,,4.3,0.29,5,reviewed,nn,nn
2019-04-28T07:43:46.378Z,16.7387,-86.1144,10,5.1,mww,,42,2.89,0.88,us,us70003dbt,2019-04-29T15:15:50.167Z,"42km NW of Savannah Bight, Honduras",earthquake,6.6,1.9,0.073,18,reviewed,us,us
2019-04-28T06:57:49.374Z,9.8267,126.4435,10,4.6,mb,,110,2.869,0.67,us,us70003dbq,2019-04-28T08:52:22.040Z,"31km E of General Luna, Philippines",earthquake,10.2,1.9,0.043,159,reviewed,us,us
2019-04-28T06:51:19.234Z,9.8074,126.4691,10,4.6,mb,,109,2.859,0.54,us,us70003dbm,2019-04-28T08:23:23.040Z,"34km E of General Luna, Philippines",earthquake,3.5,1.9,0.053,105,reviewed,us,us
2019-04-28T06:24:11.350Z,19.3306667,-155.1141667,6.78,2.56,ml,31,142,0.04674,0.08,hv,hv70927841,2019-04-29T22:45:39.740Z,"17km SE of Volcano, Hawaii",earthquake,0.43,0.73,0.098,10,reviewed,hv,hv
2019-04-28T05:59:16.460Z,9.7537,126.5011,7.58,4.8,mb,,91,2.818,0.62,us,us70003dar,2019-04-28T06:41:05.040Z,"37km E of General Luna, Philippines",earthquake,7.7,3.4,0.04,195,reviewed,us,us
2019-04-28T05:34:32.507Z,9.8162,126.6055,23.17,4.7,mb,,110,2.911,0.68,us,us70003dab,2019-04-28T06:06:43.040Z,"49km E of General Luna, Philippines",earthquake,6,5.3,0.048,131,reviewed,us,us
2019-04-28T05:19:41.448Z,39.7339,-117.564,13.8,2.9,ml,12,120.03,0.603,0.3157,nn,nn00683395,2019-04-29T02:04:30.051Z,"50km WNW of Austin, Nevada",earthquake,,3.3,0.32,12,reviewed,nn,nn
2019-04-28T04:00:00.335Z,9.504,126.4596,70.9,4.9,mb,,111,2.57,1.17,us,us70003d9b,2019-04-28T04:23:35.040Z,"38km NE of Cortes, Philippines",earthquake,9.5,6.7,0.037,229,reviewed,us,us
